id,us,british-tech,british-adj,french,uiaa,saxon,ewbank,ewbank2,finnish,nor,brazilian,kurtyka
1,3–4,1,M,1,I,I,1–2,1–2,1,1,I,I
2,5.0,1,M,1,I,I,3–4,3–4,1,1,I sup,I
3,5.1,2,M,2,II,II,5–6,5–6,2,2,II,II
4,5.2,2,D,2,II,II,7,7,2,2,II sup,II
5,5.3,3,D,3,III,III,8–9,8–9,3,3,II sup,III
6,5.4,3,VD,4a,IV,IV,10,10,3,3,III,IV
7,5.5,4a,S,4b,IV+/V-,V,11–12,11–12,4,4,III sup,IV
8,5.6,4b,HS,4c,V,VI,13,13,4,4,IV,IV+
9,5.7,4c,VS,5a,V+,VI,14–15,14–15,5-,5-,IV,V-
10,5.8,4c,HVS,5b,VI-,VIIa,16,16,5,5,IV sup,V
11,5.9,5a,HVS,5c,VI,VIIb,17,17–18,5+,5+,V,V+
12,5.10a,5a,E1,6a,VI+,VIIc,18,19,5+,6-,VI,VI
13,5.10b,5b,E2,6a+,VII-,VIIc,19,20,6-,6-,VI,VI+
14,5.10c,5b,E2,6b,VII,VIIIa,20,21,6,6,VI sup,VI.1
15,5.10d,5c,E3,6b+,VII+,VIIIb,20,22,6,6+,VI sup,VI.1+
16,5.11a,5c,E3,6c,VII+,VIIIc,21,22,6+,6+,7a,VI.2
17,5.11b,5c,E4,6c,VIII-,VIIIc,22,23,7-,7-,7b,VI.2+
18,5.11c,6a,E4,6c+,VIII-,IXa,23,24,7,7,7c,VI.2+
19,5.11d,6a,E5,7a,VIII,IXb,23,25,7,7+,7c,VI.3
20,5.12a,6a,E5,7a+,VIII+,IXc,24,26,7+,7+/8-,8a,VI.3+
21,5.12b,6a,E6,7b,VIII+,IXc,25,27,8-,8-,8b,VI.4
22,5.12c,6b,E6,7b+,IX-,Xa,26,28,8,8,8c,VI.5
23,5.12d,6b,E7,7c,IX,Xb,27,29,8+,8/8+,9a,VI.4+
24,5.13a,6b,E7,7c+,IX+,Xc,28,30,9-,8+,9b,VI.5
25,5.13b,6c,E8,8a,IX+,Xc,29,31,9,9-,9c,VI.5+
26,5.13c,6c,E8,8a+,X-,XIa,30,32,9+,9-/9,10a,VI.5+
27,5.13d,6c,E9,8b,X,XIb,31,33,10-,9,10b,VI.6
28,5.14a,7a,E10,8b+,X+,XIc,32,34,10,9/9+,10c,VI.6+
29,5.14b,7a,E11,8c,X+,XIc,33,35,10+,9+,11a,VI.7
30,5.14c,7b,E11,8c+,XI-,XIIa,34,36,11-,9+/10-,11b,VI.7+
31,5.14d,,,9a,XI,XIIb,35,37,11,,11c,VI.8
32,5.15a,,,9a+,XI+,,36,38,,,12a,
33,5.15b,,,9b,XI+,,37,39,,,12b,
34,5.15c,,,9b+,XII-,,38,40,,,12c,
35,5.15d,,,9c,XII,,39,,,,13a,
